Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
AZJ00505,1480,,,,,,,,,
Line #,Product Name,,,,,,,,,
13,ULT CSMT ASSY,CN 3672,Cadet Gray,Painted Interiro Finish White,Right Hand,7/8sdl with spacebar black,rectangular special cut 2w2h,Tempered Low E2 w/Argon,4 9/16 jambs,Cadet Gray Clad Flat Casing
9,ULT CSMT ASSY,CN 2322,Cadet Gray,Painted Interiro Finish White,Left Hand,7/8sdl with spacebar black,rectangular special cut 2w2h,Low E2 w/Argon,4 9/16 jambs,Cadet Gray Clad Sash Exterior 
12,ULT CSMT ASSY,CN 3672,Cadet Gray,Painted Interior Finish White,Left Hand,7/8sdl with spacebar black,rectangular special cut 2w2h,Tempered Low E2 w/Argon,4 9/16 jambs,Cadet Gray Clad Flat Casing
AZJ00314,1503,,,,,,,,,
1,ELSFD XO ASSY,CN 8080,STONE WHITE ,White Interior ,NA,Stainless perimeter bar,White interrior weatherstrip,Tempered Low E2 w/Argon,6 13/16 jambs,Nailing fin
1a,ELSFD OX SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ELEVATE CASEMENT ASSEMBLY ,CN 2650,STONE WHITE,STONE WHITE,Left Hand,Stainless perimeter bar,white folding handle ,Low E2 w/Argon,2 jambs,Nailing fin
3,ESSENTIAL CASEMENT ASSEMBLY ,CN 2650,STONE WHITE,STONE WHITE,Right Hand,Stainless perimeter bar,NA,Low E2 w/Argon,2 jambs,Nailing fin
4,ESSENTIAL CASEMENT ASSEMBLY ,CN 3050,STONE WHITE,STONE WHITE,Left Hand,Stainless perimeter bar,NA,Low E2 w/Argon,2 jambs,Nailing fin w/6inch structural brackets
4,ESSENTIAL CASEMENT ASSEMBLY ,CN 3050,STONE WHITE,STONE WHITE,Left Hand,Stainless perimeter bar,NA,Low E2 w/Argon,2 jambs,Nailing fin w/6inch structural brackets
9a,ELSFD OX SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
10c,ELSFD R2 OXXO SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
10d,ELSFD R3 OXXO SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
10e,IOCZASTRAGAL,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ELEVATE SLIDING FRENCH DOOR,CN 8080,STONE WHITE,White Interior ,,Stainless perimeter bar,right panel ,Tempered Low E2 w/Argon,6 13/16 jambs,Cadet Gray clad Flat 
11a,ELSFD OX SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ELAVATE CASEMENT ASSEMBLY,CN 2955,STONE WHITE,White Interior ,LEFT HAND,Stainless perimeter bar,NA,Low E2 w/Argon,6 13/16 JAMBS,Nailing fin W/certification brackets 
17,ELEVATE CASEMENT ASSEMBLY ,CN 3433,STONE WHITE,White Interior ,NA,7/8sdl with spacebar black,STAINLESS,Low E2 w/Argon,6 13/16 jambs,Nailing fin W/certification brackets 
18,ELEVATE CASEMENT ASSEMBLY ,CN 3763,STONE WHITE ,White Interior ,Left Hand,7/8sdl with spacebar black,NA,Low E2 w/Argon,6 13/16 jambs,Nailing fin W/certification brackets 
19,ELEVATE AWNING,CN 3319,STONE WHITE,White Interior ,Roto Operating,Stainless perimeter bar,white folding handle ,Low E2 w/Argon,6 13/16 jambs,Nailing fin
,,,,,,,,,,
22,ELEVATE CSMT,CN 3763,STONE WHITE,White Interior ,Left Hand,Stainless perimeter bar,white folding handle ,Low E2 w/Argon,6 13/16 jambs,Nailing fin W/certification brackets 
27,ELEVATE CASEMENT ASSEMBLY ,CN 2959,STONE WHITE,White Interior ,Left Hand,White Folding Handle,INTERIOR ALUMINUM SCREEN ,Tempered Low E2 w/Argon,6 13/16 jambs,Nailing fin W/certification brackets 
28,ELEVATE CASEMENT ASSEMBLY ,CN 2959,STONE WHITE,White Interior ,LEFT HAND,Stainless perimeter bar,white folding handle ,Tempered Low E2 w/Argon,6 13/16 jambs,Nailing fin W/certification brackets 
29,ELEVATE CASEMENT ASSEMBLY ,CN 3343,STONE WHITE,White Interior ,Stationary ,Stainless perimeter bar,NA,Low E2 w/Argon,6 13/16 jambs,Nailing fin
30,ELEVATE CASEMENT ASSEMBLY ,CN 3343,STONE WHITE,White Interior ,Stationary ,Stainless perimeter bar,NA,Low E2 w/Argon,2 jambs,Nailing fin
31,ELEVATE CASEMENT ASSEMBLY ,CN 3343,STONE WHITE,White Interior ,Stationary ,Stainless perimeter bar,NA,Low E2 w/Argon,6 13/16 jambs,Nailing fin
AZJ00651,1522,,,,,,,,,
"5(C,D)",CUID 6 9/16 2.25 OXXO ASSY,CN 12070,Ebony ,Black pine ,Left Hand ,black perimeter bar,Squared interior glazing ,Tempered Low E2 Argon,6 9/16 jambs,Black weather strip
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AZJ01333,2929,,,,,,,,,
1a,ELSFD XO SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ00903,2333,,,,,,,,,
1a,ELSPD OX SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ00685,1473AO,,,,,,,,,
1,CUDH-NG 2.0 ASSEMBLY ,CN3028,EBONY,Painted Interior Finish,NA,"Square 5/8"" SDL - With Spacer Bar",Rectangular - Special Cut 2W1H,Low E2 w/Argon,"6 9/16"" Jambs",Nailing Fin
AZJ00636,1949,,,,,,,,,
4,ELSFD ASSY OXXO,CN 12070,STONE WHITE ,Bare pine interior,Left Hand,7/8sdl with spacebar black,STAINLESS,Tempered Low E2 w/Argon,6 11/16 jambs,Nailing fin
4b,ELSFD OXXO  OPPERATING SASH,NA,NA,NA,NA,NA,NA,NA,NA,NA
4c,ELSFD OXXO  OPPERATING SASH,NA,NA,NA,NA,NA,NA,NA,NA,NA
4d,ELSFD R2 OXXO SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e,ELSFD R3 OXXO SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,ELEVATE DOUBLE HUNG,CN 3648,STONE WHITE,Bare pine interior,NA,"7/8"" SDL - With Spacer Bar",Rectangular - Standard Cut 3W2H,Low E2 w/Argon,"4 9/16"" Jambs",NA
AZJ00267,1336,,,,,,,,,
1a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
4a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
